"name","institution","delete"
"Single Author",NA,""
"Jacques M. Estienne",NA,""
"MC Proctor","University of Michigan Hospitals",""
"Bridget Grant","National Institute on Alcohol Abuse and Alcoholism Rockville",""
"Single Author","{}",""
"hsdhdh hdshsdh","hsdhds",""
"Single Author","{}",""
"sdgsdgshshfshdh \hreehererh","reherherhrehehre",""
"Single Author",NA,""
"Single Author","{}",""
"{} {}","{}",""
"Monica L. McCoy","Villanova University, Villanova",""
"Single Author","{}",""
"{} {}","{}",""
"Janet Kimbrell","Oklahoma State University",""
"M. Williams","Intelligent Marketing Systems, Edmonton, Canada",""
"Single Author","{}",""
"hsdhds hsdhsd","hsdhsdhsd",""
"Kathleen Kalil","Wayne County Community College",""
"gregergregerg geggwgegwgs","gsree",""
"Gilles Viaud","University of Saskatchewan",""
"n/a n/a","n/a",""
"{} {}","{}",""
"gesgs ggegsegesg","gesgesgesges",""
"Single Author","N/A",""
